region,retailer,asin,isbn13,title_name,authors,sales_rank,list_price,print_list_price,price,currency,timestamp,synopsis,imprint_i,release_date,imprint_ii,language,download_options,number_of_pages,hours_to_read,total_words,rating,category_rankings,image,url
US,Kobo US,,9.78E+12,Wild Trail,A.M. Arthur,,N/A,,$8.99 ,USD,8/3/2024 0:52,"Opposites attract when a rancher is stranded in the mountains with a handsome stranger on holiday in this sexy gay romance.
Welcome to Clean Slate Ranch: Home of tight jeans, cowboy boots, and rough trails. For some men, it’s a fantasy come true.
Mack Garrett loves the rolling hills surrounding his Northern California dude ranch. Leading vacationers on horse trails with his two best friends is enough—romance is definitely not in the cards. When a sexy tourist shows up at Clean Slate, he’s as far from Mack’s type as can be. So why is the handsome city slicker so far under his skin in less than a day?
Roughing it in the middle of nowhere isn’t anywhere near Wes Bentley’s idea of fun. Then he lays eyes on the gruffest, hottest papa bear he’s ever seen. But Mack is as hard to pin down as he looks—distant, sharp-tongued, and in desperate need of a shave. Until a campout gone wrong strands both men in the mountains with nothing to do but get to know each other.
Mack intends to keep his closely guarded heart out of Wes’s very talented hands. But for a seven-day cowboy, Wes is packing some long-term possibility. The cold country air can do wonders for bringing bodies together—but it will take more than that to bridge the distance between two men whose lives are worlds apart.
“[A] passionate, trope-heavy romance . . . scintillating romantic tension and steamy sex
scenes.” —Publishers Weekly on Hard Ride",Harlequin,11-May-20,Carina Press,English,EPUB 3 (Adobe DRM),"345
Pages","7 - 8
Hours to read","98k
Total words",Rated 3.89 out of 5 stars with 9 ratings,"#7982 in Fiction & Literature, Westerns #56349 in Romance, Contemporary #126789 in Romance",https://cdn.kobo.com/book-images/0f5a8106-9120-404a-8311-f40a982fc65d/353/569/90/False/wild-trail-4.jpg,https://www.kobo.com/us/en/ebook/wild-trail-4
US,Kobo US,,9.78E+12,Captive Star,Nora Roberts,,$8.99 ,,$1.99 ,USD,8/3/2024 0:52,"Find out what happens next in the fan-favorite Stars of Mithra trilogy from #1 New York Times bestselling author Nora Roberts!
M.J. O’Leary is used to punching first and asking questions later. So when bounty hunter Jack Dakota tries to arrest her for bail jumping, she doesn’t go down easily. Little does Jack know, getting involved with M.J. will land him in a world of trouble. On the run from hired killers, M.J. refuses to talk about who’s after her…or why she has a massive blue diamond hidden in her purse. M.J. and Jack are drawn to each other, despite their better judgment, but can Jack learn to trust M.J. when she has so many secrets?",Silhouette,10-Aug-20,Silhouette Special Releases,English,EPUB 3 (Adobe DRM),"384
Pages","4 - 5
Hours to read","57k
Total words",Rated 4.34 out of 5 stars with 73 ratings,"#206 in Romance, Romantic Suspense #514 in Romance, Contemporary #1199 in Romance",https://cdn.kobo.com/book-images/4a0da6ac-88ec-4b62-b668-cd2861b2e118/353/569/90/False/captive-star-10.jpg,https://www.kobo.com/us/en/ebook/captive-star-10
US,Kobo US,,9.78E+12,Home on Apple Blossom Road,Sheila Roberts,,N/A,,$7.99 ,USD,8/3/2024 0:52,"A heartwarming novel of love and friendship, and how they change as we grow up, from USA TODAY **bestselling author Sheila Roberts
Home is where the love is…**
Colin Wright and Mia Blair grew up in Icicle Falls, but they left years ago—and not on good terms. Now Colin’s grandmother, Justine, has died, and they’ve come home to honor this woman they both loved. That’s when they get some unexpected news. They’re about to inherit something. Jointly. They just have no idea what. It turns out that Justine’s designed a treasure hunt for them, like the ones they enjoyed when they were kids and best friends.
But they’re not kids anymore, and they sure aren’t best friends. As for that young love they once shared? Well…it’s complicated.
On the trail of Justine’s treasure, they follow a series of clues that take them down memory lane—ending up at the orchard on Apple Blossom Road. What will they find there? And what did Justine know that they didn’t?
Previously published",MIRA Books,13-Jul-20,MIRA,English,EPUB 3 (Adobe DRM),"400
Pages","7 - 8
Hours to read","91k
Total words",Rated 4.5 out of 5 stars with 4 ratings,"#18465 in Fiction & Literature, Contemporary Women #56356 in Romance, Contemporary #131314 in Fiction & Literature",https://cdn.kobo.com/book-images/221548d5-76fd-4cec-802d-825e1eba2db3/353/569/90/False/home-on-apple-blossom-road-3.jpg,https://www.kobo.com/us/en/ebook/home-on-apple-blossom-road-3
US,Kobo US,,9.78E+12,At Home in Stone Creek & Rancher's Wild Secret,Linda Lael Miller,,N/A,,$5.99 ,USD,8/3/2024 0:52,"BESTSELLING AUTHOR COLLECTION
***Reader-favorite romances in collectible volumes from our bestselling authors
At Home in Stone Creek* by #1New York Timesbestselling author Linda Lael Miller**
It’s hard for Ashley O’Ballivan not to feel a little lonely. After all, everyone in her family is marrying and having babies—except her. She hasn’t had a booking at her bed-and-breakfast in far too long. And she hasn’t seen or heard from the handsome, mysterious man who broke her heart in months.
But then Jack McCall suddenly reappears—with no explanations and no promises. Jack has secrets, secrets he says he has to keep to protect her. Secrets she fears will ultimately take him away from her again. But this time, Ashley’s determined to convince him that he’s at home only in Stone Creek—with her.
FREE BONUS STORY INCLUDED IN THIS VOLUME!
Rancher’s Wild Secret byNew York Timesbestselling author Maisey Yates
Emerson Maxfield is the perfect pawn for rancher Holden McCall’s purposes. She’s engaged to a man solely to win her father’s approval, and the sheltered beauty never steps out of line. Until one encounter changes everything. Now this good girl must marry Holden to protect her family—or their desire could spell downfall for them all…",Harlequin,30-Mar-21,Harlequin Bestselling Author Collection,English,EPUB 3 (Adobe DRM),"512
Pages","7 - 8
Hours to read","97k
Total words",Rated 5.0 out of 5 stars with 1 ratings,"#90411 in Romance, Contemporary #220841 in Romance #267102 in Fiction & Literature",https://cdn.kobo.com/book-images/ab7e6ad8-8369-49c4-a054-11ddc8c48e4c/353/569/90/False/at-home-in-stone-creek-rancher-s-wild-secret.jpg,https://www.kobo.com/us/en/ebook/at-home-in-stone-creek-rancher-s-wild-secret
US,Kobo US,,9.78E+12,A New Hope,Robyn Carr,,N/A,,$8.99 ,USD,8/3/2024 0:52,"From the Bestselling Author of the hit Netflix series, Virgin River!
Starting over is never easy, but in Thunder Point, where newcomers are welcome and friends become family, it's possible to find yourself again. #1 New York Times bestselling author Robyn Carr takes us on a moving and rewarding journey as a young woman finds new hope.
After losing her child, Ginger Dysart was lost in grief. But since moving to Thunder Point, a small town on the Oregon coast, Ginger is finally moving forward. Her job at the flower shop is peaceful and fulfilling, and she's excited to be assisting with the Lacoumette wedding.
In spite of her lasting heartache, Ginger is swept up in the pleasure of the occasion. But the beauty of the Lacoumette farm and the joy of the gregarious family are ruined by an unfortunate encounter with the bride's brother, Matt. Struggling with painful memories of his own, Matt makes a drunken spectacle of himself when he tries to make a pass at Ginger, forcing her to flee the scene in embarrassment.
But when Matt shows up at the flower shop determined to make amends, what started out as a humiliating first meeting blossoms into something much deeper than either of them expected. Everyone around them worries that Ginger will end up with a broken heart yet again. But if Ginger has the courage to embrace the future, and if Matt can finally learn to let go of the past, there may still be hope for a happy ending.
Look for What We Find by Robyn Carr, a powerful story of healing, new beginnings and one woman's journey to finding the happiness she's long been missing. Order your copy today!",MIRA Books,10-Aug-20,MIRA,English,EPUB 3 (Adobe DRM),"400
Pages","7 - 8
Hours to read","94k
Total words",Rated 4.74 out of 5 stars with 27 ratings,"#5511 in Fiction & Literature, Family Life #11962 in Fiction & Literature, Contemporary Women #35681 in Romance, Contemporary",https://cdn.kobo.com/book-images/e5ba9d52-51b8-434a-84bd-378f3f76c187/353/569/90/False/a-new-hope-10.jpg,https://www.kobo.com/us/en/ebook/a-new-hope-10
US,Kobo US,,9.78E+12,Sawyer & Cowboy Above the Law,Lori Foster,,N/A,,$5.99 ,USD,8/3/2024 0:52,"BESTSELLING AUTHOR COLLECTION
Reader-favorite romances in collectible volumes from our bestselling authors.
A SAFE HAVEN
As the only doctor in Buckhorn County, Kentucky, Sawyer Hudson knows a thing or two about saving lives. But when he rescues the beautiful Honey Malone from a car wreck and invites her to stay at his home so he can nurse her back to health, he finds himself dreading the day she’s well enough to walk away. Because now that he’s met the woman of his dreams, he’s not about to let her go.
Honey’s been on the run for days, but when a car accident lands her in Sawyer’s arms, she’s never felt safer. Can he convince her that it’s okay to stop running—and build a future in the one place that’s finally felt like home?
FREE BONUS STORY INCLUDED IN THIS VOLUME!
Cowboy Above the Law by USA TODAY bestselling author Delores Fossen
When his father is shot, Deputy Court McCall initially suspects Rayna Travers. Her mysterious past raises questions, even if his attraction to her is impossible to contain. Before long, though, he discovers Rayna is an innocent pawn in a very dangerous game. Now, to catch a killer, this cowboy will go wherever the case takes him.",Harlequin,29-Dec-20,Harlequin Bestselling Author Collection,English,EPUB 3 (Adobe DRM),"512
Pages","8 - 9
Hours to read","111k
Total words",Rated 0 out of 5 stars,"#23854 in Fiction & Literature, Short Stories #90405 in Romance, Contemporary #220842 in Romance",https://cdn.kobo.com/book-images/8ad8d58f-b084-4b84-8993-9c30d3ed0220/353/569/90/False/sawyer-cowboy-above-the-law.jpg,https://www.kobo.com/us/en/ebook/sawyer-cowboy-above-the-law
US,Kobo US,,9.78E+12,Holiday Mountain Rescue,Katy Lee,,N/A,,$8.99 ,USD,8/3/2024 0:52,"High-stakes secrets heat up the season in two suspenseful novels from the author of the Roads to Danger series and the author of the Echo Mountain books.
High Speed Holiday by Katy Lee
After Ian Stone discovers he was kidnapped when he was a baby, he visits his “family’s” hometown—and is shot at. He’s convinced the Spencers don’t want their long-lost brother, Luke, to return and claim his inheritance. Chief of police Sylvie Laurent is skeptical of Ian’s story, but they’ll have to work together if they want to uncover the truth.
Christmas Undercover by Hope White
FBI agent Sara Vaughn believes corrupt businessmen are engineering drugs with deadly results. Following the suspects into the Cascade Mountains, Sara witnesses them murder one of their own and she’s targeted. Saved by mountain rescue worker Will Rankin, Sara at first suspects he’s one of the bad guys. But when Will risks everything to save her, she knows that he’s all that’s standing between her and seeing Christmas morning.",Harlequin,13-Oct-20,Love Inspired MMP,English,EPUB 3 (Adobe DRM),"386
Pages","9 - 10
Hours to read","117k
Total words",Rated 5.0 out of 5 stars with 1 ratings,"#11726 in Fiction & Literature, Religious #33269 in Romance, Romantic Suspense #220826 in Romance",https://cdn.kobo.com/book-images/67720af1-eda5-4733-bd7b-c9ec1f781aa0/353/569/90/False/holiday-mountain-rescue-1.jpg,https://www.kobo.com/us/en/ebook/holiday-mountain-rescue-1
US,Kobo US,,9.78E+12,Christmas Mountain Protector,Margaret Daley,,$8.99 ,,$2.99 ,USD,8/3/2024 0:52,"Their deadliest mission yet
Christmas Stalking by Margaret Daley
Bodyguard Ellie St. James has one objective: protect her client. Pretending to be Rachel “Winnie” Winfield’s assistant lets Ellie stay close, but there’s a complication—Winnie’s grandson, Colt Winfield. The suspicious marine biologist isn’t easy to fool. Trapped on a Colorado mountain, the two must guard Winnie and find the stalker…before this Christmas becomes their last.
Off the Grid Christmas by Mary Ellen Porter
When computer expert Arden DeMarco hacks secret files and discovers evidence of treason, a price is put on her head. Security expert Kane Walker promised Arden’s family he’d bring her safely home for the holidays. Instead they’re dodging bullets—and fighting their growing feelings—while Arden races to break the encryption and find out what’s hidden in the files. Now keeping Arden safe is the only Christmas gift that matters…",Harlequin,13-Oct-20,Love Inspired MMP,English,EPUB 3 (Adobe DRM),"362
Pages","9 - 10
Hours to read","118k
Total words",Rated 0 out of 5 stars,"#11726 in Fiction & Literature, Religious #220842 in Romance",https://cdn.kobo.com/book-images/d268a9bb-66d0-40ae-a60b-de1353c34cb2/353/569/90/False/christmas-mountain-protector-1.jpg,https://www.kobo.com/us/en/ebook/christmas-mountain-protector-1
US,Kobo US,,9.78E+12,204 Rosewood Lane,Debbie Macomber,,N/A,,$9.99 ,USD,8/3/2024 0:52,"Love always finds a way in this heartwarming second installment in the Cedar Cove series, only from #1 New York Times bestselling author Debbie Macomber
Judge Olivia Lockhart’s plate is full. Her hometown of Cedar Cove is the kind of community that’s always relied on each other for support, but lately it seems everybody needs somebody to lean on, especially Olivia’s best friend, Grace Sherman, whose husband disappeared six months prior. Thirty-five years together, then—just gone. Moving forward without closure is hardly ideal, but for librarian Grace, it may be time to start a new chapter.
For Olivia, helping her good friend start over is just the beginning. There are enough marriages, separations, and babies being born in Cedar Cover to keep anyone on their toes. And when Olivia’s ex-husband makes it clear he wants her back, it throws a serious wrench at her on-again, off-again relationship with newspaper editor Jack Griffin. Sometimes the right path isn’t always clear, but finding the courage to follow your heart will lead you right where you belong.
Previously published",MIRA Books,10-Aug-20,MIRA,English,EPUB 3 (Adobe DRM),"400
Pages","7 - 8
Hours to read","99k
Total words",Rated 4.40 out of 5 stars with 10 ratings,"#13152 in Fiction & Literature, Contemporary Women #39382 in Romance, Contemporary #83976 in Fiction & Literature",https://cdn.kobo.com/book-images/e229d389-e7e2-46a4-85bb-a7d3f63cb6bc/353/569/90/False/204-rosewood-lane-7.jpg,https://www.kobo.com/us/en/ebook/204-rosewood-lane-7
US,Kobo US,,9.78E+12,Four Brides,Debbie Macomber,,N/A,,$8.99 ,USD,8/3/2024 0:52,"From wedding plans to revenge plots, and to finding love again…
Three Brides, No Groom
When three friends meet again at their fifteen-year class reunion, they reveal that their lives have taken unexpected directions.
Back in their college days, Gretchen Wise had been engaged to a top law student. Carol Furness, head cheerleader, had said yes to the school’s football hero. And Maddie Cobain was the girl who’d fallen for a professor.
Now the three of them gather where promises were made…and broken. As the women reconnect, they share stories of disappointment, rediscovery and, finally, new love.
BONUS: An Alaskan Wedding by Jennifer Snow
Aurora Klein is back in Wild River to serve as maid of honor at her best friend’s wedding, but how can she keep herself together when the town holds so many memories of her ex-boyfriend Tyler Forrester—who also happens to be the best man?",MIRA Books,26-May-20,MIRA,English,EPUB 3 (Adobe DRM),"400
Pages","5 - 6
Hours to read","76k
Total words",Rated 4.33 out of 5 stars with 3 ratings,"#13634 in Fiction & Literature, Contemporary Women #40898 in Romance, Contemporary #89384 in Romance",https://cdn.kobo.com/book-images/43f37b2b-b7a7-4fbd-9786-44d5bcdac062/353/569/90/False/four-brides.jpg,https://www.kobo.com/us/en/ebook/four-brides
